title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
Our Lady of Guadalupe,https://marble.nd.edu/item/2002.018,Mexican,"February 15, 1729",Paintings,"North America, Mexico",Oil on canvas,50 7/8 x 37 5/8 in. (129.22 x 95.57 cm),"Gift of Mr. Ignacio Aranguren, ND '52, his wife Pirri, and their sons Luis, ND '84, Ignacio, ND '85, and Santiago, ND '92",Public domain,1729,North America,Mexico
Standing Female Figurine with Bandolier,https://marble.nd.edu/item/2004.014.018,Unrecorded Jalisco artist,300 BCE-250 CE,Figurines,"North America, Mexico, Jalisco",Slipped ceramic,5 1/4 x 2 x 3/4 in. (13.34 x 5.08 x 1.91 cm),Mr. and Mrs. Anthony Unruh Fund,Public domain,-275,North America,Mexico
Standing Figurine,https://marble.nd.edu/item/2002.068.015,Unrecorded Valdivia artist,3000 - 2000 BCE,Figurines,"South America, Ecuador",Ceramic,3 x 1 1/8 x 5/8 in. (7.62 x 2.86 x 1.59 cm),Gift of Peter David Joralemon,Public domain,-2500,South America,Ecuador
Holy Trinity,https://marble.nd.edu/item/2002.055.001,Mexican,1801-1900,Paintings,"North America, Mexico",Oil on copper,9 1/2 x 7 3/4 in. (24.13 x 19.69 cm),Gift of Byron Parshall in memory of Valerie Kamm Parshall,Public domain,1850,North America,Mexico
Mother and Child Figurine,https://marble.nd.edu/item/2004.014.035,Unrecorded Remojadas artist,100-200,Figurines,"North America, Mexico, Veracruz",Ceramic and asphalt paint,4 3/4 x 3 1/8 x 2 1/4 in. (12.07 x 7.94 x 5.72 cm),Mr. and Mrs. Anthony Unruh Fund,Public domain,150,North America,Mexico
Untitled (Group of People Trying to Get in Church),https://marble.nd.edu/item/2002.012.025,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Female Figurine Holding a Dog,https://marble.nd.edu/item/2004.014.019,Unrecorded West Mexican artist Formerly attributed to Unrecorded Jalisco artist,200 BCE - 300 CE,Figurines,"North America, Mexico, West Mexico",Slipped ceramic,7 x 2 1/2 x 2 in. (17.78 x 6.35 x 5.08 cm),Anthony and Janet Unruh Fund,Public domain,-250,North America,Mexico
Untitled (Man Working at Table with a Hammer),https://marble.nd.edu/item/2002.012.015,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (Three Men Weighing a Bag of Cotton),https://marble.nd.edu/item/2002.012.082,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Finding of Moses,https://marble.nd.edu/item/2002.025,Charles de la Fosse French 1636 1716,ca. 1695-1700,Paintings,,Oil on canvas,18 1/2 x 22 in. (46.99 x 55.88 cm),"Thomas P. Moore II, Sansom Foundation, L. Russell Cartwright, Snite Donation Box, Joseph Skelton, ND ’71, Richard J. Huether, Robin and Laurie Douglass, ND ’92, ’99, James A. Chism, and Charles K. Driscoll, ND ’63 Funds; Fritz and Mildred Kaeser Endowment for Liturgical Art; Rev. Anthony J. Lauck, C.S.C., ND '42 Sculpture Endowment; Anthony Tassone Memorial Fund; and gifts of Mrs. Alfred P. Shaw and Mrs. Amos Brown and Alex Hartler, by Exchange",Public domain,1695,,
The Oppressor,https://marble.nd.edu/item/2004.040.004,Malaquias Montoya American b 1938,1989,Prints,,Screen print on paper,23 x 26 in. (58.42 x 66.04 cm),Art Purchases Fund,Copyright,1989,,
Pair of Oro Society Staffs,https://marble.nd.edu/item/2004.025,Unrecorded Ogboni Society artist from Alatishe Ogundipe workshop active 1815 1875 Formerly attributed to Alatishe Ogundipe workshop Ijebu active 1815 1875,ca. 1850,"Tools, Implements, and Weights","Africa, Nigeria",Lostwax Cast copper alloy on wrought iron,16 x 9 1/8 x 1 7/8 in. (40.64 x 23.18 x 4.61 cm),"Rev. Anthony J. Lauck, C.S.C., ND '42 Sculpture Endowment, Lake Family Endowment for the Arts of the Americas, Africa and Oceania, and Snite Discretionary Fund",Public domain,1850,Africa,Niger
Standing Female Figurine with Skirt and Circular Hat,https://marble.nd.edu/item/2005.001.042,Unrecorded Tlatilco artist,1300-800 BCE,Figurines,"North America, Mexico, Puebla",Slipped and painted ceramic,3 7/8 x 1 3/8 x 1 in. (9.78 x 3.61 x 2.54 cm),Dorothy Griffin Fund,Public domain,-1050,North America,Mexico
Standing Female Figurine with Broad X across Skirt,https://marble.nd.edu/item/2005.001.043,Unrecorded Tlatilco artist,1300-800 BCE,Figurines,"North America, Mexico, Puebla",Slipped and painted ceramic,4 1/8 x 2 5/8 x 1 1/4 in. (10.62 x 6.73 x 3.07 cm),Dorothy Griffin Fund,Public domain,-1050,North America,Mexico
Seated Figure,https://marble.nd.edu/item/2005.001.091,Unrecorded Chupcuaro artist Chupcuaro Guanajuato Mexico,400 - 100 BCE,Figurines,"North America, Mexico, Chupícuaro, Guanajuato",Slipped and painted ceramic,5 3/4 x 4 x 2 1/8 in. (14.45 x 10.16 x 5.33 cm),Dorothy Griffin Fund,Public domain,-250,North America,Mexico
Big Lotso,https://marble.nd.edu/item/2004.052.001,Rick E Bartow American 1946 2016,1999,Paintings,,"Gouache, ink, and chalk on Japanese paper",72 x 50 in. (182.88 x 127 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1999,,
"Internal View of the Atrium of the Portico of Octavia, from Views of Rome",https://marble.nd.edu/item/2006.008.005,Giovanni Battista Piranesi Italian 1720 1778,1760,Prints,"Rome, Europe, Italy, Roma, Lazio",Etching on laid paper,19 1/8 x 25 5/8 in. (48.58 x 65.09 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1760,Europe,Italy
"View of the Palace of the Illustrious Barberini Family on the Quirinal Hill, designed by Cavaliere Bernini, from Views of Rome",https://marble.nd.edu/item/2006.008.001,Giovanni Battista Piranesi Italian 1720 1778,1749,Prints,"Rome, Europe, Italy, Roma, Lazio",Etching on paper,18 5/8 x 27 1/4 in. (47.31 x 69.22 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1749,Europe,Italy
"Bat-Effigy, Spouted Tripod Bowl",https://marble.nd.edu/item/2005.058.008,Unrecorded Zapotec artist,300 BCE-250 CE,Vessels,"North America, Mexico, Oaxaca",Slipped and painted ceramic,3 1/2 x 10 1/2 x 11 1/2 in. (8.89 x 26.67 x 29.21 cm),Gift of Peter David Joralemon,Public domain,-275,North America,Mexico
"View of Several of the Columns of the Facade Opposite That of the Preceding Plate, Plate III from Different Views of Paestum",https://marble.nd.edu/item/2006.008.022,Giovanni Battista Piranesi Italian 1720 1778,1778,Prints,"Europe, Italy",Etching on paper,23 1/8 x 31 5/8 in. (58.58 x 80.17 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1778,Europe,Italy
"Another View of the Remains of the College of Anfictions, Plate IX from Different Views of Paestum",https://marble.nd.edu/item/2006.008.028,Giovanni Battista Piranesi Italian 1720 1778,1778,Prints,"Europe, Italy",Etching on paper,21 3/8 x 30 in. (54.14 x 76.2 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1778,Europe,Italy
"View of the Famous Vatican Basilica with Its Spacious Portico and Adjacent Piazza, from Views of Rome",https://marble.nd.edu/item/2006.008.016,Giovanni Battista Piranesi Italian 1720 1778,1775,Prints,"Rome, Europe, Italy, Roma, Lazio",Etching on laid paper,19 7/8 x 29 in. (50.48 x 73.66 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1775,Europe,Italy
"View of the Remains of the Back of the Temple of Neptune, Plate XIV from Different Views of Paestum",https://marble.nd.edu/item/2006.008.033,Giovanni Battista Piranesi Italian 1720 1778,1778,Prints,"Europe, Italy",Etching on paper,21 3/8 x 30 1/4 in. (54.29 x 76.68 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1778,Europe,Italy
Human Face Mask,https://marble.nd.edu/item/2006.065,Unrecorded Alamito or Tafi artist,600-300 BCE,Apparel and Adornments,"South America, Argentina",Stone,5 x 3 7/8 x 2 in. (12.7 x 9.84 x 5.08 cm),"Robert E., ND ’63 and Beverly, SMC ’63 O’Grady Fund",Public domain,-450,South America,Argentina
Double Pipe Bowl Depicting Two Baboons,https://marble.nd.edu/item/2006.014.002,Unrecorded Bamileke artist Formerly attributed to Unidentified Bangwa artist,early 20th century,"Tools, Implements, and Weights","Africa, Cameroon, Western High Plateau",Slipped terracotta,6 1/4 x 3 3/4 x 3 1/4 in. (15.88 x 9.53 x 8.26 cm),Walter R. Beardsley Endowment for Contemporary Art and William L. and Erma M. Travis Endowment for the Decorative Arts,Public domain,2022,Africa,Cameroon
"View of Another Temple in the City of Paestum, Plate XVIII from Different Views of Paestum",https://marble.nd.edu/item/2006.008.037,Giovanni Battista Piranesi Italian 1720 1778,1778,Prints,"Europe, Italy",Etching on laid paper,21 3/8 x 30 1/8 in. (54.29 x 76.52 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1778,Europe,Italy
The Hunt from A Means to an End...A Shadow Drama in Five Acts,https://marble.nd.edu/item/2007.011.002,Kara Elizabeth Walker American b 1969,1995,Prints,,Etching and acquatint,35 x 23 1/2 in. (88.9 x 59.69 cm),Humana Foundation Endowment,Copyright,1995,,
Study for an Illustration (perhaps One of the Contes by Lafontaine),https://marble.nd.edu/item/2006.069.002,Franois Boucher French 1703 1770,ca. 1739,Drawings,Europe,Black ink and wash over graphite on laid paper,4 7/8 x 3 in. (12.38 x 7.62 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1739,Europe,
"Red Jackson, Harlem Gang Leader",https://marble.nd.edu/item/2007.008.002,Gordon Parks American 1912 2006,1948,Photographs,"Manhattan, North America, United States, New York, New York",Gelatin silver print,14 x 11 in. (35.5 x 28 cm),Humana Foundation Endowment,Copyright,1948,North America,United States
A River Landscape with Figures by a Small Waterfall,https://marble.nd.edu/item/2006.069.026,Guiseppe Zais Italian 1709 1781,1724-1784,Drawings,,"Pen and brown ink, gray and black wash, heightened with white, over traces of black chalk on on laid paper, laid down",8 7/8 x 14 in. (22.54 x 35.4 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1754,,
"Police Using Dogs to Attack Demonstrators, Birmingham, Alabama",https://marble.nd.edu/item/2007.031.002,Charles Moore American 1931 2010,"May 3, 1963; printed later",Photographs,"Birmingham, North America, United States, Jefferson, Alabama",Gelatin silver print,8 7/8 x 13 5/8 in. (22.5 x 34.6 cm),Humana Foundation Endowment,Copyright,1963,North America,United States
Mazahuan Women,https://marble.nd.edu/item/2007.047.002,Mariana Yampolsky Mexican born in the United States 1925 2002,1989,Photographs,,Gelatin silver print,14 x 18 1/2 in. (35.56 x 46.99 cm),Humana Foundation Endowment,Copyright,1989,,
Payday,https://marble.nd.edu/item/2008.048.048,Alan Pogue American 1946,1988,Photographs,,Gelatin silver print,16 x 20 in. (40.6 x 50.8 cm),Gift of Gilberto Cárdenas,Copyright,1988,,
Let Us Stop the Aggression toward the Working Class! [Paremos la Agresion Hacia la Clase Trabajadora!],https://marble.nd.edu/item/2009.012.009,Leopoldo Mndez Mexican 1902 1968,1950,Prints,,Linocut on paper,27 5/8 x 38 1/8 in. (70.01 x 96.84 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1950,,
Fascism. 8th Conference [El Fascismo. 8a. Conferencia],https://marble.nd.edu/item/2009.012.022,Jess Escobedo Mexican 1918 1978,1939,Prints,,Lithograph on paper,18 3/8 x 26 5/8 in. (46.67 x 67.63 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1939,,
Fascism. 7th Conference. Japanese Fascism [El Fascismo. 7a. Conferencia. El Fscismo Japones],https://marble.nd.edu/item/2009.012.006,Isidoro Ocampo Mexican 1910 1983,1939,Prints,,Lithograph in two colors on paper,18 1/2 x 26 5/8 in. (46.99 x 67.63 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1939,,
"Ruins of the Church of the Society of Jesus, Casco Antiguo, Panama City",https://marble.nd.edu/item/2009.023.002,Eadweard James Muybridge English 1830 1904,1877,Photographs,,Albumen print from wet collodion negative mounted on paper board,12 7/8 x 16 1/2 in. (32.7 x 41.9 cm),Humana Foundation Endowment,Public domain,1877,,
The Press Serving Imperialism [La Prensa al Servicio del Imperialismo],https://marble.nd.edu/item/2009.010.007,Alfredo Zalce Mexican 1908 2003,1946,Prints,,Lithograph on paper,25 1/2 x 19 1/2 in. (64.77 x 49.53 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1946,,
The USSR Is Defending the Freedom of the World. Let’s Help! [La USSR Está Defendiendo la Libertad del Mundo. ¡Ayudémosla!],https://marble.nd.edu/item/2009.012.012,Alfredo Zalce Mexican 1908 2003,1941,Prints,,Lithograph on paper,18 1/2 x 26 5/8 in. (46.83 x 67.63 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1941,,
Phases of the Moon,https://marble.nd.edu/item/2009.045.004,Svres Porcelain Manufactory French active 1756 present Taxile Maximin Doat French 1851 1939,ca. 1900,Decorative Arts,,Pâte-sur-pâte,5 x 6 3/4 in. (12.7 x 17.15 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1900,,
The Hunters,https://marble.nd.edu/item/2009.045.008,Albert Besnard French 1849 1934,,Drawings,Europe,Black ink and wash on cream card,13 7/8 x 9 7/8 in. (35.24 x 25.08 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,,Europe,
"Fête des Ballons, Château de la Muette",https://marble.nd.edu/item/2009.045.046,VictorPhilippeFrancois LemoineBenoit French active 1831 1850,1831-1850,Paintings,,Oil on canvas,35 5/8 x 43 1/4 x 3 1/2 in. (90.49 x 109.86 x 8.89 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1840,,
Study of a Woman in a Historical Costume,https://marble.nd.edu/item/2009.045.023,Henri Gervex French 1852 1929,1867-1929,Drawings,,"Black, red and white chalk on paper mounted to lightweight board",19 1/4 x 12 1/2 in. (48.9 x 31.75 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1898,,
Deathbed Scene,https://marble.nd.edu/item/2009.045.061,Octave Tassaert French 1800 1874,ca. 1840-1860,Paintings,"Europe, France",Oil on panel,14 x 12 1/8 x 2 1/2 in. (35.56 x 30.8 x 6.35 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1840,Europe,France
View of St. Cloud and Mont Valerian,https://marble.nd.edu/item/2009.045.077,Jean Achille Benouville French 1815 1891,1835-1891,Paintings,,Oil on canvas,10 3/4 x 16 1/8 in. (27.31 x 40.96 cm),The Muriel S. and Noah L. Butkin Collection,Copyright,1863,,
Seated Male Figure Smoking,https://marble.nd.edu/item/2009.045.133,Unrecorded Senufo artist,1965,Figurines,Africa,"Brass, lead",9 in. (22.86 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1965,Africa,
"Peter, the Hermit",https://marble.nd.edu/item/2009.045.138,Antonin Merci French 1845 1916,ca. 1888,Sculpture,,Bronze,15 1/2 x 7 5/8 x 9 3/8 in. (39.37 x 19.37 x 23.81 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1888,,
Velleda,https://marble.nd.edu/item/2009.045.141,Etienne Hippolyte Maindron French 1801 1884,19th century,Sculpture,,Terracotta,17 x 5 1/2 x 6 3/4 in. (43.18 x 13.97 x 16.99 cm),The Muriel S. and Noah L. Butkin Collection,Copyright,1850,,
The Magdalene in Contemplation,https://marble.nd.edu/item/2009.045.092,AdolpheFlix Cals French 1810 1880,1854,Paintings,"Europe, France",Oil on canvas,17 3/4 x 13 1/8 x 2 1/2 in. (45.09 x 33.34 x 6.35 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1854,Europe,France
"Untitled, Storefronts, ""El Gran Café,"" Bronx",https://marble.nd.edu/item/2010.011.005,Emilio Snchez Cuban 1921 1999,late 1980s,Paintings,,Watercolor on paper,22 x 30 3/4 in. (55.88 x 78.11 cm),Gift of the Emilio Sanchez Foundation,Public domain,1987,,
Las Negritas,https://marble.nd.edu/item/2010.011.001,Emilio Snchez Cuban 1921 1999,1970s,Paintings,,Oil on Masonite,36 x 48 in. (91.44 x 121.92 cm),Gift of the Emilio Sanchez Foundation,Public domain,1975,,
Ty’s Place,https://marble.nd.edu/item/2010.011.010.006,Emilio Snchez Cuban 1921 1999,1976,Prints,,Color lithograph on paper,22 x 30 in. (55.88 x 76.2 cm),Gift of the Emilio Sanchez Foundation,Public domain,1976,,
Sol de Mediodía,https://marble.nd.edu/item/2010.011.010.018,Emilio Snchez Cuban 1921 1999,ca. 1996,Prints,,Color lithograph on paper,15 x 32 in. (38.1 x 81.28 cm),Gift of the Emilio Sanchez Foundation,Public domain,1996,,
Tres Puertas,https://marble.nd.edu/item/2010.011.011.011,Emilio Snchez Cuban 1921 1999,1965,Prints,,Black and white lithograph on paper,26 x 18 in. (66.04 x 45.72 cm),Gift of the Emilio Sanchez Foundation,Public domain,1965,,
Barandales,https://marble.nd.edu/item/2010.011.011.006,Emilio Snchez Cuban 1921 1999,1968,Prints,,Color lithograph on paper,8 x 15 1/4 in. (20.32 x 38.74 cm),Gift of the Emilio Sanchez Foundation,Public domain,1968,,
"Lower Left/New City Hall, Boston City Hall",https://marble.nd.edu/item/2010.011.012.008,Emilio Snchez Cuban 1921 1999,1970-1971,Prints,,Black and white lithograph on paper,10 x 14 in. (25.4 x 35.56 cm),Gift of the Emilio Sanchez Foundation,Public domain,1970,,
New York on a Sunny Day,https://marble.nd.edu/item/2010.011.012.022,Emilio Snchez Cuban 1921 1999,1987-1988,Prints,,Color lithograph on paper,30 3/4 x 20 in. (78.11 x 50.8 cm),Gift of the Emilio Sanchez Foundation,Public domain,1987,,
Palmares,https://marble.nd.edu/item/2010.011.013.008,Emilio Snchez Cuban 1921 1999,ca. 1967,Prints,,Black and white lithograph on paper,15 1/2 x 21 1/2 in. (39.37 x 54.61 cm),Gift of the Emilio Sanchez Foundation,Public domain,1967,,
La Regata,https://marble.nd.edu/item/2010.011.013.013,Emilio Snchez Cuban 1921 1999,1981,Prints,,Color lithograph on paper,20 x 31 in. (50.8 x 78.74 cm),Gift of the Emilio Sanchez Foundation,Public domain,1981,,
Sailboats,https://marble.nd.edu/item/2010.011.013.011,Emilio Snchez Cuban 1921 1999,early 1980s,Prints,,Black and white lithograph on paper,16 1/4 x 22 1/4 in. (41.28 x 56.52 cm),Gift of the Emilio Sanchez Foundation,Public domain,1982,,
Emilio Sanchez: Lithographs,https://marble.nd.edu/item/2010.011.017.003,Emilio Snchez Cuban 1921 1999,1978,Prints,,Poster on paper,21 3/4 x 16 in. (55.25 x 40.64 cm),Gift of the Emilio Sanchez Foundation,Public domain,1978,,
El Mantel Rojo,https://marble.nd.edu/item/2010.011.014.006,Emilio Snchez Cuban 1921 1999,1990s,Prints,,Color lithograph on paper,10 3/4 x 14 in. (27.31 x 35.56 cm),Gift of the Emilio Sanchez Foundation,Public domain,1995,,
Emilio Sanchez: Lithographs,https://marble.nd.edu/item/2010.011.017.010,Emilio Snchez Cuban 1921 1999,1981,Prints,,Poster on paper,37 3/4 x 24 3/4 in. (95.89 x 62.87 cm),Gift of the Emilio Sanchez Foundation,Public domain,1981,,
